artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
Billie Eilish,Bored,3.01555,Darkroom,Major,4,7.0,0.614,0.318,0.0478,0.896,0.00239,0.0795,0.112,-12.695,119.959,0
"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,3.436183333333333,Som Livre,Major,4,7.0,0.778,0.641,0.0449,0.753,0.0,0.104,0.434,-5.258,131.914,0
"Piso 21, Micro TDH",Te Vi,3.864133333333333,WM Mexico,Major,4,1.0,0.877,0.777,0.117,0.0446,3.46e-05,0.0863,0.706,-4.246,102.02,0
Eminem,Framed,4.216,Aftermath,Major,4,7.0,0.744,0.821,0.161,0.0113,0.0,0.259,0.762,-3.009,145.982,1
"The Chainsmokers, Bebe Rexha",Call You Mine,3.62755,Disruptor Records/Columbia,Major,4,7.0,0.591,0.702,0.0289,0.225,0.0,0.414,0.501,-5.59,104.003,0
Taylor Swift,Begin Again (Taylor's Version),3.981116666666667,Taylor Swift,Major,4,7.0,0.519,0.527,0.0274,0.075,0.0,0.132,0.267,-7.673,78.915,0
Drake,Free Smoke,3.6445666666666665,Cash Money Records/Young Money Ent./Universal Rec.,Minor,4,10.0,0.736,0.491,0.439,0.0681,0.0,0.571,0.203,-6.892,141.979,1
"Peso Pluma, Anitta",BELLAKEO,3.288883333333333,Double P Records,Major,4,9.0,0.72,0.88,0.101,0.0562,0.06,0.153,0.463,-2.834,180.011,1
DaBaby,INTRO,2.88,South Coast Music Group/Interscope Records,Minor,4,0.0,0.862,0.685,0.242,0.0342,0.0,0.204,0.672,-7.699,100.024,0
Queen,Thank God It's Christmas - Non-Album Single,4.36045,EMI,Major,5,7.0,0.296,0.421,0.0285,0.214,0.0,0.232,0.335,-8.891,83.425,0
"Chris Brown, USHER, Gucci Mane",Party (feat. Usher & Gucci Mane),3.6802166666666665,RCA Records Label,Minor,4,1.0,0.762,0.576,0.0829,0.0556,0.0,0.0869,0.316,-4.951,142.096,1
"Maite Perroni, Cali Y El Dandee",Loca (feat. Cali y El Dandee),3.9061,WM Mexico,Major,4,9.0,0.751,0.839,0.054,0.11,0.0,0.0865,0.639,-3.367,95.019,0
"Drake, Fivio Foreign, Sosa Geek",Demons (feat. Fivio Foreign & Sosa Geek),3.4134166666666665,OVO,Minor,3,0.0,0.543,0.766,0.343,0.423,0.0,0.155,0.729,-3.387,106.869,0
"Nio Garcia, J Balvin, Bad Bunny",AM Remix,4.355583333333334,Flow La Movie,Minor,4,6.0,0.743,0.655,0.159,0.114,0.0,0.0764,0.785,-5.015,172.031,1
XXXTENTACION,Orlando,2.7306666666666666,Bad Vibes Forever / EMPIRE,Major,4,1.0,0.57,0.0279,0.0588,0.859,0.0892,0.254,0.28,-22.282,84.902,0
"Charli XCX, Troye Sivan",1999,3.15,Atlantic Records UK,Major,4,7.0,0.739,0.742,0.0329,0.0227,1.39e-06,0.229,0.659,-4.586,124.016,0
Post Malone,Saint-Tropez,2.51445,Republic Records,Major,4,0.0,0.617,0.684,0.0439,0.0545,0.0,0.104,0.295,-3.618,132.113,1
"Lil Wayne, Reginae Carter",Famous (feat. Reginae Carter),4.034166666666667,"Young Money Records, Inc.",Major,4,9.0,0.623,0.568,0.144,0.0302,0.0,0.25,0.115,-5.664,149.852,1
Anitta,Paradinha,2.3552833333333334,WM Brazil,Minor,4,11.0,0.695,0.775,0.0887,0.0117,0.191,0.0702,0.869,-5.041,180.054,1
Calboy,Envy Me,2.002283333333333,Polo Grounds Music/RCA Records,Major,4,11.0,0.556,0.481,0.313,0.282,0.0,0.216,0.581,-7.663,149.025,1
"Christian Nodal, Peso Pluma",La Intención,4.15775,"Producciones Ladon, S.A de C.V.",Major,3,2.0,0.794,0.738,0.034,0.536,0.0,0.189,0.838,-3.842,131.857,0
Kendrick Lamar,United In Grief,4.2563,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,Major,3,8.0,0.529,0.845,0.404,0.244,0.0,0.143,0.331,-8.142,85.63,0
Kendrick Lamar,LUST.,5.131333333333333,Aftermath,Minor,4,3.0,0.678,0.562,0.508,0.193,0.0,0.104,0.566,-9.197,94.241,0
Khalid,Vertigo,4.506883333333334,"Right Hand Music Group, LLC/RCA Records",Minor,4,4.0,0.487,0.458,0.0371,0.552,0.0257,0.117,0.207,-7.761,115.989,0
"Future, Young Thug",No Cap,2.4023666666666665,Epic/300/Atlantic Recording Corporation,Major,4,1.0,0.8,0.523,0.107,0.00108,0.0,0.352,0.379,-6.578,147.057,1
"Kanye West, XXXTENTACION",True Love,2.476183333333333,Columbia,Minor,4,5.0,0.712,0.861,0.25,0.0182,6.09e-06,0.511,0.388,-5.487,84.042,0
"Jung Kook, Major Lazer",Closer to You (feat. Major Lazer),2.8499166666666667,BIGHIT MUSIC,Minor,4,2.0,0.781,0.655,0.0457,0.114,0.00249,0.103,0.493,-7.073,113.031,0
Wham!,Last Christmas - Single Version,4.432666666666667,Sony Music CG,Major,4,2.0,0.733,0.598,0.0278,0.212,3.71e-06,0.156,0.935,-8.228,107.732,0
"Anuel AA, Bad Bunny",Hasta Que Dios Diga,4.1,"2020 Real Hasta La Muerte, LLC",Major,4,8.0,0.691,0.765,0.111,0.464,3.29e-06,0.203,0.855,-4.727,174.021,1
Megan Thee Stallion,B.I.T.C.H.,3.0523833333333332,300 Entertainment,Minor,4,11.0,0.742,0.731,0.306,0.0851,0.0,0.131,0.547,-4.362,174.019,1
Camila Cabello,Liar,3.45065,Syco Music/Epic,Minor,4,11.0,0.74,0.498,0.0456,0.0169,0.00282,0.319,0.652,-6.684,98.016,0
"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),3.1014666666666666,Selena Gomez Latin Project,Major,4,5.0,0.823,0.544,0.0715,0.0215,0.00315,0.0966,0.664,-7.132,149.903,1
NF,Lie,3.486883333333333,NF Real Music,Major,4,5.0,0.513,0.661,0.24,0.161,0.0,0.246,0.179,-6.419,94.791,0
"Roddy Ricch, Mustard",High Fashion (feat. Mustard),3.6747833333333335,Atlantic Records,Minor,4,11.0,0.831,0.499,0.114,0.269,0.0,0.3,0.511,-8.442,97.956,0
"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,2.711333333333333,"MSFTSMusic / Roc Nation Records, LLC",Major,4,2.0,0.773,0.47,0.0299,0.0153,0.000193,0.0851,0.399,-7.93,94.995,0
"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) - Remix,2.650183333333333,Nice Life/Atlantic,Minor,4,5.0,0.668,0.892,0.0645,0.298,0.0,0.735,0.478,-3.001,95.927,0
"Y2K, bbno$",Lalala,2.6769166666666666,Columbia,Major,4,2.0,0.843,0.391,0.0845,0.181,0.0,0.137,0.496,-7.899,129.972,0
"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),3.6117833333333333,Atlantic Records UK,Minor,4,7.0,0.817,0.781,0.112,0.00838,5.21e-06,0.123,0.359,-4.178,104.0,0
Jess Glynne,I'll Be There,3.232066666666667,Atlantic Records UK,Major,4,7.0,0.623,0.851,0.0409,0.0228,0.0,0.12,0.4,-3.111,100.063,0
Arctic Monkeys,Why'd You Only Call Me When You're High?,2.6854,Domino Recording Co,Major,4,2.0,0.691,0.631,0.0368,0.0483,1.13e-05,0.104,0.8,-6.478,92.004,0
"RAF Camora, Bonez MC",Blaues Licht,2.4044,Indipendenza,Minor,4,8.0,0.819,0.835,0.102,0.398,0.00674,0.252,0.703,-4.899,144.955,1
Travis Scott,MAFIA,4.0,Cactus Jack/Epic,Minor,4,0.0,0.855,0.492,0.0483,0.0775,6.71e-06,0.111,0.385,-7.578,109.975,0
J. Cole,i n t e r l u d e,2.217033333333333,"Dreamville, Inc., Under exclusive license to Roc Nation Records",Major,3,1.0,0.77,0.574,0.106,0.0617,0.0,0.104,0.104,-5.525,98.962,0
"Summer Walker, SZA",No Love (with SZA),3.8583,LVRN/Interscope Records,Minor,4,1.0,0.707,0.618,0.19,0.17,0.0,0.293,0.517,-5.825,133.876,1
Sage The Gemini,Now and Later,3.2196833333333332,Global Gemini,Minor,4,11.0,0.781,0.57,0.188,0.273,0.0,0.196,0.858,-5.874,107.059,0
"Drake, Tems",Fountains (with Tems),3.2069666666666667,OVO,Minor,4,10.0,0.843,0.485,0.195,0.181,0.0675,0.107,0.689,-8.735,100.053,0
"Rauw Alejandro, Nicky Jam",Que Le De,3.76,"Duars Entertainment, Corp.",Major,4,0.0,0.77,0.75,0.0785,0.19,0.0,0.0618,0.609,-2.715,99.997,0
"Marshmello, Anne-Marie",FRIENDS,3.3770166666666666,Atlantic Records UK,Minor,4,9.0,0.626,0.88,0.0504,0.205,0.0,0.128,0.534,-2.384,95.079,0
Taylor Swift,epiphany,4.82915,Taylor Swift,Major,4,1.0,0.354,0.267,0.0281,0.731,0.000402,0.0858,0.113,-13.69,94.219,0
The Chainsmokers,Sick Boy,3.23155,Disruptor Records/Columbia,Minor,4,11.0,0.548,0.58,0.121,0.104,0.0,0.127,0.462,-7.524,180.066,1
Coldplay,Higher Power,3.5215833333333335,Parlophone UK,Major,4,10.0,0.507,0.828,0.0449,0.00711,2.44e-05,0.261,0.489,-6.023,178.032,1
"Capo Plaza, Sfera Ebbasta, DrefGold",Tesla (feat. Sfera Ebbasta & DrefGold),3.0857833333333335,WMI Italy,Major,4,11.0,0.854,0.626,0.0618,0.316,0.0,0.0961,0.377,-5.14,140.05,0
"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2.3333333333333335,Sony Music CG,Major,4,11.0,0.673,0.95,0.0488,0.0229,0.0823,0.398,0.563,-5.149,150.019,1
